timestamp,iteration,rocm_smi:::temp_current:device=1:sensor=1,rocm_smi:::temp_current:device=1:sensor=2,rocm_smi:::busy_percent:device=1,rocm_smi:::memory_busy_percent:device=1
0.001562,Iter1,38000,36000,1,1
0.501960,Iter1,46000,37000,99,0
1.002375,Iter1,53000,38000,100,0
1.502600,Iter1,58000,40000,100,0
2.003045,Iter1,62000,40000,100,0
2.503449,Iter1,64000,40000,100,0
3.003680,Iter1,65000,41000,100,0
3.504104,Iter1,66000,41000,100,0
4.004520,Iter1,67000,41000,100,0
4.504743,Iter1,68000,41000,100,0
5.005177,Iter1,68000,41000,100,0
5.505615,Iter1,68000,42000,100,0
6.005849,Iter1,68000,42000,100,0
6.506260,Iter1,69000,42000,100,0
7.006667,Iter1,69000,42000,100,0
7.506892,Iter1,69000,42000,100,0
8.007322,Iter1,69000,43000,100,0
8.507737,Iter1,69000,43000,100,0
9.007962,Iter1,69000,43000,100,0
9.508780,Iter1,70000,43000,100,0
10.009012,Iter1,70000,43000,100,0
10.509442,Iter1,70000,43000,100,0
11.009872,Iter1,70000,44000,100,0
11.510114,Iter1,70000,44000,100,0
12.010913,Iter1,70000,44000,100,0
12.511141,Iter1,70000,44000,100,0
13.011564,Iter1,70000,44000,100,0
13.511979,Iter1,70000,44000,100,0
14.012203,Iter1,70000,44000,100,0
14.512636,Iter1,70000,44000,100,0
15.013049,Iter1,70000,44000,100,0
15.513291,Iter1,70000,44000,100,0
16.013707,Iter1,70000,44000,100,0
16.514140,Iter1,71000,44000,100,0
17.014378,Iter1,71000,44000,100,0
17.514779,Iter1,71000,44000,100,0
18.015214,Iter1,71000,44000,100,0
18.515458,Iter1,71000,44000,100,0
19.015853,Iter1,71000,44000,100,0
19.516302,Iter1,71000,44000,100,0
20.016527,Iter1,71000,44000,100,0
20.517320,Iter1,71000,45000,100,0
21.017544,Iter1,71000,45000,100,0
21.517971,Iter1,71000,45000,100,0
22.018388,Iter1,71000,45000,100,0
22.518613,Iter1,71000,45000,100,0
23.019433,Iter1,70000,45000,100,0
23.519658,Iter1,71000,44000,100,0
24.020092,Iter1,71000,44000,100,0
24.520504,Iter1,71000,45000,100,0
25.020742,Iter1,71000,45000,100,0
25.521557,Iter1,71000,45000,100,0
26.021783,Iter1,71000,45000,100,0
26.522222,Iter1,71000,45000,100,0
27.022639,Iter1,71000,45000,100,0
27.522861,Iter1,71000,45000,100,0
28.023297,Iter1,71000,45000,100,0
28.523700,Iter1,71000,45000,100,0
29.023925,Iter1,71000,45000,100,0
29.524357,Iter1,71000,45000,100,0
30.024776,Iter1,71000,45000,100,0
30.525009,Iter1,71000,45000,100,0
31.025433,Iter1,71000,45000,100,0
31.525840,Iter1,71000,45000,100,0
32.026064,Iter1,71000,45000,100,0
32.526503,Iter1,71000,45000,100,0
33.026927,Iter1,71000,45000,100,0
33.527151,Iter1,71000,45000,100,0
34.027954,Iter1,72000,45000,100,0
34.528179,Iter1,72000,45000,100,0
35.028621,Iter1,72000,45000,100,0
35.529055,Iter1,72000,45000,100,0
36.029298,Iter1,72000,45000,100,0
36.530109,Iter1,72000,45000,100,0
37.030349,Iter1,72000,45000,100,0
37.530744,Iter1,72000,45000,100,0
38.031156,Iter1,75000,46000,100,0
38.531529,Iter1-Wait,68000,44000,2,0
