metric,source,api,iters,ok_count,min_us,avg_us,max_us,stddev_us,notes
amd_smi:::xgmi_read_kb:device=0,AMDSMI,amdsmi_get_link_metrics,500,500,1374.861,1500.204,1678.363,103.865,
amd_smi:::xgmi_write_kb:device=0,PAPI,PAPI_read,500,500,1374.861,1499.163,1734.034,104.688,
amd_smi:::xgmi_write_kb:device=0,AMDSMI,amdsmi_get_link_metrics,500,500,1376.101,1499.978,1681.613,115.776,
amd_smi:::ecc_total_correctable:device=0,PAPI,PAPI_read,500,500,788.546,999.935,1207.989,17.565,
amd_smi:::ecc_total_correctable:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,500,500,931.767,999.996,1073.268,5.794,
amd_smi:::ecc_total_uncorrectable:device=0,PAPI,PAPI_read,500,500,989.918,999.932,1011.198,2.996,
amd_smi:::ecc_total_uncorrectable:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,500,500,939.507,999.991,1065.588,5.621,
amd_smi:::ecc_total_deferred:device=0,PAPI,PAPI_read,500,500,989.498,999.923,1012.118,2.929,
amd_smi:::ecc_total_deferred:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,500,500,914.548,999.996,1082.038,6.389,
amd_smi:::temp_critical_sensor=7:device=0,PAPI,PAPI_read,500,500,269.472,342.106,1004.058,170.802,
amd_smi:::temp_critical_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,270.772,330.345,1000.388,143.883,
amd_smi:::temp_emergency_sensor=7:device=0,PAPI,PAPI_read,500,500,270.823,339.660,1004.898,168.553,
amd_smi:::temp_emergency_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,271.432,347.846,1056.108,186.376,
amd_smi:::temp_max_sensor=7:device=0,PAPI,PAPI_read,500,500,267.822,345.002,1006.298,180.811,
amd_smi:::temp_max_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,271.312,346.611,1006.338,183.662,
amd_smi:::perf_level:device=0,PAPI,PAPI_read,500,500,21.230,21.653,31.400,0.862,
amd_smi:::perf_level:device=0,AMDSMI,amdsmi_get_gpu_perf_level,500,500,21.090,21.669,64.570,2.429,
