metric,source,api,iters,ok_count,min_us,avg_us,max_us,stddev_us,notes
amd_smi:::temp_current_sensor=1:device=0,PAPI,PAPI_read,500,500,23.980,24.745,64.710,3.343,
amd_smi:::temp_current_sensor=1:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,23.890,25.897,552.964,23.874,
amd_smi:::temp_current_sensor=2:device=0,PAPI,PAPI_read,500,500,24.031,25.011,62.730,3.364,
amd_smi:::temp_current_sensor=2:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,23.900,24.737,62.210,3.357,
amd_smi:::temp_current_sensor=7:device=0,PAPI,PAPI_read,500,500,267.522,329.095,833.197,137.777,
amd_smi:::temp_current_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,265.752,330.951,852.467,144.607,
amd_smi:::gfx_activity:device=0,PAPI,PAPI_read,500,500,267.102,329.879,838.076,139.266,
amd_smi:::gfx_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,500,500,265.122,329.214,1038.348,143.123,
amd_smi:::umc_activity:device=0,PAPI,PAPI_read,500,500,264.552,327.545,1025.557,137.285,
amd_smi:::umc_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,500,500,262.842,330.879,835.957,143.327,
amd_smi:::util_counter_gfx:device=0,PAPI,PAPI_read,500,500,266.652,330.210,834.357,140.231,
amd_smi:::util_counter_gfx:device=0,AMDSMI,amdsmi_get_utilization_count,500,500,265.342,331.773,988.427,144.316,
amd_smi:::mem_total_VRAM:device=0,PAPI,PAPI_read,500,500,53.320,54.862,80.810,2.158,
amd_smi:::mem_total_VRAM:device=0,AMDSMI,amdsmi_get_gpu_memory_total,500,500,53.100,54.918,228.252,8.760,
amd_smi:::mem_usage_VRAM:device=0,PAPI,PAPI_read,500,500,80.371,82.810,213.941,7.591,
amd_smi:::mem_usage_VRAM:device=0,AMDSMI,amdsmi_get_gpu_memory_usage,500,500,80.091,82.683,310.943,11.598,
amd_smi:::mem_usage_GTT:device=0,PAPI,PAPI_read,500,500,21.770,22.575,39.050,2.129,
amd_smi:::mem_usage_GTT:device=0,AMDSMI,amdsmi_get_gpu_memory_usage,500,500,21.680,22.493,107.931,4.152,
amd_smi:::power_current:device=0,PAPI,PAPI_read,500,500,331.342,595.012,1366.830,235.948,
amd_smi:::power_current:device=0,AMDSMI,amdsmi_get_power_info,500,500,327.243,517.225,1361.540,148.989,
amd_smi:::power_cap:device=0,PAPI,PAPI_read,500,500,148.131,256.162,604.424,107.109,
amd_smi:::power_cap:device=0,AMDSMI,amdsmi_get_power_cap_info,500,500,148.541,254.909,622.825,105.832,
amd_smi:::energy_consumed:device=0,PAPI,PAPI_read,500,500,267.822,357.985,1032.498,209.915,
amd_smi:::energy_consumed:device=0,AMDSMI,amdsmi_get_energy_count,500,500,266.572,355.316,1035.618,208.107,
amd_smi:::gpu_throttle_status:device=0,PAPI,PAPI_read,500,500,267.202,354.487,1036.418,204.799,
amd_smi:::gpu_throttle_status:device=0,AMDSMI,amdsmi_get_gpu_metrics_info,500,500,266.452,359.860,1033.188,214.850,
amd_smi:::clk_freq_sys_current:device=0,PAPI,PAPI_read,500,500,24.020,24.911,79.701,5.569,
amd_smi:::clk_freq_sys_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,23.891,24.909,84.751,5.836,
amd_smi:::clk_freq_gfx_current:device=0,PAPI,PAPI_read,500,500,23.970,25.020,86.721,6.381,
amd_smi:::clk_freq_gfx_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,23.870,24.875,78.950,5.290,
amd_smi:::clk_freq_mem_current:device=0,PAPI,PAPI_read,500,500,24.540,25.842,85.531,5.987,
amd_smi:::clk_freq_mem_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,24.600,25.727,85.270,5.939,
amd_smi:::clk_freq_soc_current:device=0,PAPI,PAPI_read,500,500,24.340,26.069,255.692,12.297,
