timestamp,rocm_smi:::gpu_clk_freq_Memory:device=1:idx=0,rocm_smi:::temp_current:device=1:sensor=1,rocm_smi:::temp_current:device=1:sensor=2,rocm_smi:::mem_usage_VRAM:device=1,rocm_smi:::busy_percent:device=1,rocm_smi:::memory_busy_percent:device=1,power
0.001340,900000000,40000,34000,17187405824,94,2,405
0.571692,900000000,42000,35000,17187422208,99,4,445
1.133703,900000000,44000,36000,17187422208,97,4,428
1.671217,900000000,46000,37000,17187422208,99,4,456
2.240320,900000000,47000,37000,17187422208,98,4,442
2.790321,900000000,48000,37000,17187422208,99,4,417
3.365826,900000000,48000,37000,17187422208,99,4,443
3.922305,900000000,49000,38000,17187422208,99,4,433
4.469355,900000000,49000,38000,17187422208,99,4,439
5.019063,900000000,49000,38000,17187422208,97,4,435
5.573975,900000000,49000,38000,17187422208,99,4,432
6.112127,900000000,49000,38000,17187422208,98,4,436
6.659300,900000000,49000,38000,17187422208,99,4,399
7.224589,900000000,49000,38000,17187422208,99,4,434
7.767348,900000000,50000,38000,17187422208,99,4,419
8.316493,900000000,49000,38000,17187422208,99,4,430
8.853484,900000000,49000,38000,17187422208,91,4,437
9.400772,900000000,50000,39000,17187422208,99,4,434
9.953626,900000000,50000,38000,17187422208,96,4,431
10.505152,900000000,50000,39000,17187422208,99,4,429
11.050812,900000000,50000,39000,17187422208,98,4,438
11.608579,900000000,50000,39000,17187422208,99,4,410
12.170720,900000000,50000,39000,17187422208,99,4,439
12.718746,900000000,50000,39000,17187422208,99,4,442
13.271806,900000000,51000,39000,17187422208,99,4,445
13.827702,900000000,51000,39000,17187422208,96,4,442
14.384711,900000000,51000,40000,17187422208,99,4,440
14.943722,900000000,51000,39000,17187422208,99,4,455
15.508041,900000000,51000,40000,17187422208,99,4,415
16.054785,900000000,51000,40000,17187422208,99,4,447
16.613836,900000000,51000,40000,17187422208,99,4,443
17.166826,900000000,51000,40000,17187422208,99,4,439
17.714938,900000000,51000,40000,17187422208,96,4,443
