timestamp,rocm_smi:::temp_current:device=1:sensor=0,rocm_smi:::temp_current:device=1:sensor=1,rocm_smi:::temp_current:device=1:sensor=2,rocm_smi:::mem_usage_VRAM:device=1,rocm_smi:::busy_percent:device=1,rocm_smi:::memory_busy_percent:device=1
0.001219,45000,45000,50000,55015510016,4,0
0.502485,44000,44000,50000,55015510016,0,0
1.003255,44000,44000,50000,55015510016,0,0
1.504478,44000,44000,50000,55015510016,0,0
2.005520,44000,44000,50000,55015510016,0,0
2.506953,44000,44000,50000,55015510016,0,0
3.007757,45000,45000,50000,55015510016,0,0
3.508531,44000,44000,50000,55015510016,0,0
4.009196,44000,44000,50000,55015510016,0,0
4.510042,44000,44000,50000,55015510016,0,0
5.010876,45000,45000,50000,55015526400,98,17
5.511887,45000,47000,52000,55015526400,100,3
6.012707,44000,44000,50000,55015526400,0,0
6.513663,45000,45000,50000,55015526400,0,0
7.014506,44000,44000,50000,55015526400,0,0
7.515374,45000,45000,50000,55015526400,0,0
8.016168,44000,44000,50000,55015526400,0,0
8.516990,45000,45000,50000,55015526400,0,0
9.017850,44000,44000,50000,55015526400,0,0
9.518776,44000,44000,50000,55015526400,0,0
10.019928,44000,44000,50000,55015526400,0,0
10.520809,45000,45000,50000,55015526400,0,0
11.021909,45000,48000,53000,55015526400,100,18
11.522902,45000,45000,51000,55015526400,0,0
12.023581,45000,45000,50000,55015538688,0,0
12.524415,45000,45000,50000,55015526400,0,0
13.025094,45000,45000,50000,55015526400,0,0
13.525939,45000,45000,50000,55015526400,0,0
14.026751,44000,44000,50000,55015526400,0,0
14.527430,45000,45000,50000,55015526400,0,0
15.028094,45000,45000,50000,55015526400,0,0
15.528736,45000,45000,50000,55015526400,0,0
16.029408,45000,45000,50000,55015526400,0,0
16.530227,45000,48000,54000,55015526400,100,19
17.031103,45000,45000,52000,55015526400,0,0
17.532136,45000,45000,51000,55015526400,0,0
18.033138,45000,45000,50000,55015526400,0,0
18.533854,45000,45000,50000,55015526400,0,0
19.034657,45000,45000,51000,55015526400,0,0
19.535445,45000,45000,50000,55015526400,0,0
20.036213,46000,46000,51000,55015526400,0,0
20.537002,45000,45000,50000,55015526400,0,0
21.037781,44000,44000,50000,55015526400,0,0
21.539396,45000,45000,50000,55015526400,0,0
22.041552,45000,47000,54000,55015526400,21,0
22.542288,45000,45000,51000,55015526400,0,0
23.042926,45000,45000,51000,55015526400,0,0
23.543558,45000,45000,51000,55015526400,0,0
24.044512,46000,46000,51000,55015526400,0,0
24.545417,45000,45000,52000,55015526400,0,0
25.046433,45000,45000,51000,55015526400,0,0
25.547885,45000,45000,52000,55015526400,0,0
26.048677,45000,45000,52000,55015526400,0,0
26.549538,45000,45000,51000,55015526400,0,0
27.050510,44000,44000,50000,55015526400,0,0
27.551545,46000,48000,54000,55015526400,100,18
28.052577,46000,46000,51000,55015526400,0,0
