metric,source,api,iters,ok_count,min_us,avg_us,max_us,stddev_us,notes
amd_smi:::xgmi_read_kb:device=0,AMDSMI,amdsmi_get_link_metrics,100,100,1404.120,1499.907,1634.322,87.983,
amd_smi:::xgmi_write_kb:device=0,PAPI,PAPI_read,100,100,1407.101,1499.442,1611.511,85.100,
amd_smi:::xgmi_write_kb:device=0,AMDSMI,amdsmi_get_link_metrics,100,100,1403.610,1499.897,1721.703,85.637,
amd_smi:::ecc_total_correctable:device=0,PAPI,PAPI_read,100,100,872.636,999.903,1123.279,17.971,
amd_smi:::ecc_total_correctable:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,100,100,990.447,1000.064,1007.347,3.097,
amd_smi:::ecc_total_uncorrectable:device=0,PAPI,PAPI_read,100,100,748.665,999.912,1236.739,36.700,
amd_smi:::ecc_total_uncorrectable:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,100,100,992.017,1000.049,1009.417,2.776,
amd_smi:::ecc_total_deferred:device=0,PAPI,PAPI_read,100,100,776.526,999.781,1222.999,33.489,
amd_smi:::ecc_total_deferred:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,100,100,983.177,1000.014,1015.108,3.280,
amd_smi:::temp_critical_sensor=7:device=0,PAPI,PAPI_read,100,100,263.012,342.121,990.968,140.107,
amd_smi:::temp_critical_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,100,100,264.002,343.927,1003.767,159.386,
amd_smi:::temp_emergency_sensor=7:device=0,PAPI,PAPI_read,100,100,264.742,334.957,998.737,129.718,
amd_smi:::temp_emergency_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,100,100,267.172,335.704,994.828,130.210,
amd_smi:::temp_max_sensor=7:device=0,PAPI,PAPI_read,100,100,262.082,341.712,1014.757,158.075,
amd_smi:::temp_max_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,100,100,266.192,339.635,992.107,144.094,
amd_smi:::perf_level:device=0,PAPI,PAPI_read,100,100,21.200,21.589,27.680,0.733,
amd_smi:::perf_level:device=0,AMDSMI,amdsmi_get_gpu_perf_level,100,100,21.100,21.678,29.520,1.172,
