timestamp,rocm_smi:::temp_current:device=0:sensor=0,rocm_smi:::temp_current:device=0:sensor=1,rocm_smi:::temp_current:device=0:sensor=2,rocm_smi:::mem_usage_VRAM:device=0,rocm_smi:::busy_percent:device=0,rocm_smi:::memory_busy_percent:device=0,power
0.000965,38000,38000,51000,17418362880,4,0,58
0.526635,40000,45000,55000,17418362880,100,23,91
1.046174,40000,46000,55000,17418362880,100,25,114
1.563124,40000,46000,55000,17418362880,100,20,129
2.087575,40000,48000,56000,17418362880,100,20,141
2.620601,42000,48000,56000,17418362880,100,25,150
3.140412,42000,48000,56000,17418362880,100,16,155
3.663163,42000,48000,56000,17418362880,100,18,159
4.187301,43000,49000,57000,17418362880,100,23,163
4.703681,42000,49000,57000,17418362880,100,20,165
5.224145,43000,50000,58000,17418362880,100,24,168
5.743384,43000,50000,58000,17418362880,100,21,169
6.258122,44000,51000,58000,17418362880,100,22,169
6.775340,45000,51000,58000,17418362880,100,16,169
7.300056,45000,51000,59000,17418362880,100,23,170
7.823125,45000,52000,58000,17418362880,100,15,169
8.345205,45000,52000,60000,17418362880,100,26,170
8.860139,46000,52000,58000,17418362880,100,11,168
9.383289,46000,53000,59000,17418362880,100,14,168
9.896008,46000,53000,60000,17418362880,100,26,169
10.411084,46000,53000,59000,17418362880,100,14,167
10.922975,46000,54000,60000,17418362880,100,13,167
11.446294,47000,54000,60000,17418362880,100,15,167
11.968321,47000,54000,60000,17418362880,100,17,168
12.494529,47000,55000,61000,17418362880,100,13,169
13.015851,48000,55000,60000,17418362880,100,15,168
13.540512,48000,55000,60000,17418362880,100,13,167
14.065841,48000,55000,61000,17418362880,100,18,167
14.591506,49000,56000,61000,17418362880,100,12,167
15.114453,49000,56000,62000,17418362880,100,17,168
15.636144,49000,56000,62000,17418362880,100,18,168
16.154165,49000,56000,62000,17418362880,100,18,169
16.678779,50000,57000,63000,17418362880,100,22,169
17.202553,50000,57000,62000,17418362880,100,11,167
17.724525,50000,57000,62000,17418362880,100,14,167
18.250206,50000,57000,63000,17418362880,100,17,167
18.787987,50000,57000,62000,17418362880,100,12,166
19.311649,51000,58000,62000,17418362880,100,13,166
19.834743,51000,58000,64000,17418362880,100,18,167
20.358812,51000,58000,64000,17418362880,100,20,168
20.880663,52000,59000,64000,17418362880,100,11,167
21.399161,51000,59000,64000,17418362880,100,20,170
21.923288,52000,59000,64000,17418362880,100,14,170
22.445682,53000,60000,64000,17418362880,100,12,170
22.970577,53000,60000,65000,17418362880,100,19,170
23.495820,53000,59000,64000,17418362880,100,16,170
24.019635,53000,60000,64000,17418362880,100,11,170
24.545538,53000,60000,64000,17418362880,100,16,169
25.087915,54000,61000,65000,17418362880,100,19,170
25.613094,54000,61000,65000,17418362880,100,16,170
26.133883,54000,61000,65000,17418362880,100,17,169
26.656623,54000,62000,64000,17418362880,100,10,168
27.178647,55000,62000,65000,17418362880,100,16,168
27.720751,55000,62000,66000,17418362880,100,21,170
28.245335,55000,62000,67000,17418362880,100,22,172
28.763508,55000,63000,67000,17418362880,100,17,172
29.281059,56000,63000,66000,17418362880,100,18,171
29.805913,56000,62000,66000,17418362880,100,16,171
30.328139,56000,63000,66000,17418362880,100,13,171
30.855353,56000,63000,67000,17418362880,100,20,172
31.378127,56000,64000,67000,17418362880,100,14,170
31.900363,57000,64000,67000,17418362880,100,14,169
32.422895,57000,64000,67000,17418362880,100,12,169
32.943939,57000,65000,67000,17418362880,100,15,170
33.535815,57000,64000,68000,17418362880,100,19,173
34.174223,57000,65000,67000,17418362880,100,9,174
34.783218,58000,66000,68000,17418362880,100,10,174
35.358200,58000,65000,68000,17418362880,100,16,174
