timestamp,"amd_smi:::temp_current_sensor=1:device=1","amd_smi:::temp_current_sensor=2:device=1","amd_smi:::temp_current_sensor=7:device=1","amd_smi:::gfx_activity:device=1","amd_smi:::umc_activity:device=1","amd_smi:::power_current:device=1","amd_smi:::power_average:device=1","amd_smi:::process_cu_occupancy_proc=0:device=1","amd_smi:::process_count:device=1"
0.003239,37,48,32,38,0,65535,39,0,1
0.105929,38,47,32,6,1,65535,40,0,1
0.208962,37,47,32,6,1,65535,42,0,1
0.311829,37,47,32,6,1,65535,43,0,1
0.414966,38,47,32,6,1,65535,44,0,1
0.518064,38,48,32,6,1,65535,45,0,1
0.621135,38,47,32,0,0,65535,46,0,1
0.724130,37,47,32,0,0,65535,45,0,1
0.827147,37,47,32,0,0,65535,45,0,1
0.930151,37,47,32,0,0,65535,45,0,1
1.032986,37,47,32,0,0,65535,44,0,1
1.136104,37,47,32,0,0,65535,44,0,1
1.239274,37,47,32,0,0,65535,44,0,1
1.342155,37,47,32,0,0,65535,43,0,1
1.445165,37,47,32,0,0,65535,43,0,1
1.547682,37,47,32,0,0,65535,43,0,1
1.650284,37,47,32,0,0,65535,42,0,1
1.752984,38,48,32,0,0,65535,42,0,1
1.856133,37,47,32,0,0,65535,42,0,1
1.959222,37,47,32,0,0,65535,42,0,1
2.061986,37,47,32,0,0,65535,41,0,1
2.164953,37,47,32,0,0,65535,41,0,1
2.267499,37,48,32,0,0,65535,41,0,1
2.370275,37,47,32,0,0,65535,41,0,1
2.473240,37,47,32,0,0,65535,41,0,1
2.576193,37,47,32,0,0,65535,41,0,1
2.679202,37,47,32,0,0,65535,40,0,1
2.782213,37,47,32,0,0,65535,40,0,1
2.884487,37,47,32,0,0,65535,40,0,1
2.987304,38,47,32,0,0,65535,40,0,1
3.090022,37,47,32,0,0,65535,40,0,1
3.192952,37,47,32,0,0,65535,40,0,1
3.295977,37,47,32,0,0,65535,40,0,1
3.398986,37,48,32,0,0,65535,40,0,1
3.501513,38,48,32,0,0,65535,40,0,1
3.604303,37,47,32,0,0,65535,40,0,1
3.707213,37,47,32,0,0,65535,40,0,1
3.810231,38,47,32,0,0,65535,39,0,1
3.913406,37,47,32,0,0,65535,39,0,1
4.016203,37,47,32,0,0,65535,39,0,1
4.118480,38,47,32,0,0,65535,39,0,1
4.221013,37,47,32,0,0,65535,39,0,1
4.323784,38,47,32,0,0,65535,39,0,1
4.426780,37,47,32,0,0,65535,39,0,1
4.529144,37,47,32,0,0,65535,39,0,1
4.631792,37,47,32,0,0,65535,39,0,1
4.734792,37,48,32,0,0,65535,39,0,1
4.837801,37,47,32,0,0,65535,39,0,1
4.940801,37,48,32,0,0,65535,39,0,1
5.043851,41,48,32,100,17,65535,43,78,1
5.146853,43,51,32,100,15,65535,53,90,1
5.249847,44,52,32,100,32,65535,63,99,1
5.352294,45,51,32,100,28,65535,72,74,1
5.454604,45,51,32,100,22,65535,80,92,1
5.557114,45,52,32,100,32,65535,89,85,1
5.659878,45,52,32,100,23,65535,96,83,1
5.762878,46,53,32,100,28,65535,103,82,1
5.865870,46,53,32,100,30,65535,110,74,1
5.968875,46,52,32,100,24,65535,116,87,1
6.071884,46,54,32,100,26,65535,122,78,1
6.174881,47,53,32,100,25,65535,127,72,1
6.277914,46,52,32,99,30,65535,131,94,1
6.380333,47,53,32,100,32,65535,136,81,1
6.482909,47,54,32,100,25,65535,141,81,1
6.585897,47,53,32,100,29,65535,145,82,1
6.688908,47,53,32,100,25,65535,149,75,1
6.791908,47,54,32,100,23,65535,152,84,1
6.894937,47,54,32,100,32,65535,155,86,1
6.997378,48,54,32,100,27,65535,159,75,1
7.099689,48,54,32,100,27,65535,162,87,1
7.202168,48,55,32,100,24,65535,164,82,1
7.304927,48,54,32,100,23,65535,167,73,1
7.407906,48,54,32,100,25,65535,169,76,1
7.510721,48,54,32,100,23,65535,171,75,1
7.613929,47,53,32,96,26,65535,172,92,1
7.716938,49,54,32,100,34,65535,175,86,1
7.819943,49,55,33,100,29,65535,177,81,1
7.922947,49,55,32,100,27,65535,180,88,1
8.025928,49,56,32,100,27,65535,181,83,1
8.128924,49,55,32,100,27,65535,183,84,1
8.231206,49,55,32,100,27,65535,184,77,1
8.333963,49,56,32,100,24,65535,186,72,1
8.436941,49,55,32,100,23,65535,187,75,1
8.540238,47,55,32,14,1,65535,187,92,1
8.642592,49,55,32,100,33,65535,189,78,1
8.745223,49,56,32,100,26,65535,190,76,1
8.847348,50,55,32,100,27,65535,191,73,1
8.950474,49,55,32,100,26,65535,192,71,1
9.052589,49,54,32,100,18,65535,192,75,1
9.154996,50,54,33,100,19,65535,192,74,1
9.257372,50,55,33,100,21,65535,193,77,1
9.360000,50,54,32,100,17,65535,193,69,1
9.462792,50,54,32,100,16,65535,193,73,1
9.565820,50,55,32,100,29,65535,193,90,1
9.668291,50,55,33,100,23,65535,194,71,1
9.770995,50,55,33,100,17,65535,194,76,1
9.873803,50,55,33,100,25,65535,194,67,1
9.976687,50,55,32,100,19,65535,195,67,1
10.079263,50,55,32,100,21,65535,195,79,1
10.181814,50,56,32,100,22,65535,195,69,1
10.284694,51,55,33,100,18,65535,195,80,1
10.387702,50,55,33,100,22,65535,195,82,1
10.490757,50,56,32,100,25,65535,196,79,1
10.593693,51,56,32,100,26,65535,196,80,1
10.696316,51,56,33,100,30,65535,197,81,1
10.798841,51,57,33,100,31,65535,198,77,1
10.901701,51,56,33,100,25,65535,199,69,1
11.004682,51,56,33,100,27,65535,199,78,1
11.107710,51,56,33,100,22,65535,199,74,1
11.210710,51,56,33,100,20,65535,199,75,1
11.313310,51,56,33,100,24,65535,199,83,1
11.416095,52,57,33,100,22,65535,200,84,1
11.518770,52,57,33,100,31,65535,200,89,1
11.621719,51,57,33,100,28,65535,201,82,1
11.724709,52,57,33,100,24,65535,201,76,1
11.827325,52,57,33,100,27,65535,202,78,1
11.929865,52,57,33,100,26,65535,202,77,1
12.032722,52,57,33,100,25,65535,202,75,1
12.135729,52,57,33,100,26,65535,202,80,1
12.238719,52,58,33,100,26,65535,203,87,1
12.341790,52,57,33,100,28,65535,203,90,1
12.444349,52,58,33,100,31,65535,203,87,1
12.546865,53,58,33,100,28,65535,204,90,1
12.649750,52,58,33,100,27,65535,205,91,1
12.752731,52,58,33,100,26,65535,205,80,1
12.855737,53,58,33,100,27,65535,205,80,1
12.958368,53,58,33,100,26,65535,205,77,1
13.060872,53,59,33,100,27,65535,205,75,1
13.163751,53,58,33,100,26,65535,205,80,1
13.266828,53,58,33,100,27,65535,205,84,1
13.369762,53,58,33,100,29,65535,206,88,1
13.472740,53,58,33,100,29,65535,206,78,1
13.575475,53,58,33,100,28,65535,206,76,1
13.677927,53,58,33,100,29,65535,207,81,1
13.780461,54,58,33,100,27,65535,207,79,1
13.884869,54,58,33,100,25,65535,207,82,1
13.987389,53,58,33,100,27,65535,207,80,1
14.090657,54,58,33,100,27,65535,207,76,1
14.193185,54,59,33,100,31,65535,207,85,1
14.295507,54,59,33,100,30,65535,207,86,1
14.397954,54,59,33,100,30,65535,208,87,1
14.500763,54,59,33,100,28,65535,208,82,1
14.603503,54,59,33,100,27,65535,208,73,1
14.705948,54,59,33,100,26,65535,208,69,1
14.808753,54,59,33,100,24,65535,208,77,1
14.911732,54,59,33,100,23,65535,208,80,1
15.014657,55,59,33,100,25,65535,207,81,1
15.117205,54,59,33,100,28,65535,207,73,1
15.219776,55,60,33,100,25,65535,207,85,1
15.322679,55,59,33,100,30,65535,207,79,1
15.425215,55,59,33,100,24,65535,207,73,1
15.527791,55,59,33,100,26,65535,207,70,1
15.630685,55,59,33,100,23,65535,207,74,1
15.733219,55,59,33,100,25,65535,207,78,1
