timestamp,rocm_smi:::temp_current:device=0:sensor=0,rocm_smi:::temp_current:device=0:sensor=1,rocm_smi:::temp_current:device=0:sensor=2,rocm_smi:::mem_usage_VRAM:device=0,rocm_smi:::busy_percent:device=0,rocm_smi:::memory_busy_percent:device=0,power
0.001171,38000,38000,51000,17418362880,5,0,71
0.647529,40000,46000,54000,17418362880,100,13,97
1.165520,41000,47000,55000,17418362880,100,20,117
1.683709,41000,47000,55000,17418362880,100,17,131
2.204376,42000,47000,56000,17418362880,100,23,143
2.728122,42000,48000,57000,17418362880,100,32,152
3.249758,43000,49000,58000,17418362880,100,23,160
3.773794,43000,49000,57000,17418362880,100,19,163
4.293609,43000,50000,58000,17418362880,100,28,165
4.808287,43000,50000,58000,17418362880,100,24,168
5.321297,43000,51000,59000,17418362880,100,32,171
5.833378,44000,51000,58000,17418362880,100,19,171
6.346657,45000,51000,59000,17418362880,100,26,172
6.866248,44000,52000,58000,17418375168,100,12,169
7.380238,45000,52000,58000,17418362880,100,12,168
7.900588,45000,52000,58000,17418362880,100,11,165
8.419369,45000,52000,58000,17418362880,100,13,165
8.938878,46000,52000,59000,17418362880,100,13,165
9.452011,46000,53000,59000,17418362880,100,13,164
9.964946,47000,53000,58000,17418362880,100,8,163
10.482371,47000,54000,61000,17418362880,100,25,166
10.992556,47000,54000,59000,17418362880,100,12,164
11.504649,47000,54000,60000,17418362880,100,12,163
12.018189,48000,54000,61000,17418362880,100,17,166
12.527458,48000,55000,61000,17418362880,100,17,166
13.041774,48000,55000,61000,17418362880,100,12,165
13.554761,48000,55000,61000,17418362880,100,15,166
14.067779,48000,55000,61000,17418362880,100,15,166
14.579663,49000,56000,62000,17418362880,100,24,168
15.100950,49000,56000,62000,17418362880,100,11,168
15.612933,49000,56000,62000,17418362880,100,18,168
16.132609,49000,57000,62000,17418362880,100,9,165
16.651635,49000,57000,63000,17418362880,100,21,167
17.162477,50000,57000,63000,17418362880,100,16,167
17.682742,50000,57000,63000,17418362880,100,16,167
18.201712,50000,58000,63000,17418362880,100,11,166
18.713996,50000,58000,63000,17418362880,100,12,165
19.238351,51000,58000,63000,17418362880,100,13,165
19.759837,51000,59000,64000,17418362880,100,20,167
20.281813,52000,59000,64000,17418362880,100,23,169
20.797788,52000,59000,64000,17418362880,100,19,170
21.314927,52000,59000,64000,17418362880,100,16,170
21.835063,52000,60000,65000,17418362880,100,21,170
22.343015,52000,60000,64000,17418362880,100,11,170
22.855873,53000,61000,64000,17418362880,100,17,170
23.373890,53000,60000,64000,17418362880,100,14,168
23.893192,53000,61000,64000,17418362880,100,12,167
24.410421,53000,61000,65000,17418362880,100,16,167
24.921533,55000,61000,65000,17418362880,100,14,168
25.430380,53000,61000,66000,17418362880,100,17,169
25.949011,54000,62000,65000,17418362880,100,16,169
26.460430,54000,62000,66000,17418362880,100,15,169
26.972053,55000,62000,65000,17418362880,100,12,168
27.488654,56000,62000,66000,17418362880,100,11,168
28.002765,55000,62000,66000,17418362880,100,16,168
28.512138,55000,62000,67000,17418362880,100,19,169
