t_sec,read_us,"amd_smi:::power_current:device=1"
0.287612,557.003,68
0.289221,1165.578,68
0.289638,415.383,68
0.290609,554.834,68
0.291608,553.913,68
0.292606,551.744,68
0.293600,543.924,68
0.294645,590.504,68
0.295608,553.874,68
0.297224,1152.447,68
0.297610,383.953,68
0.298609,553.904,68
0.299609,555.363,68
0.300644,589.465,68
0.301608,553.994,68
0.302643,589.154,68
0.303610,556.814,68
0.304644,590.094,68
0.305608,553.893,68
0.306646,592.834,68
0.307606,552.204,68
0.308648,594.214,68
0.309610,556.313,68
0.310641,587.444,68
0.311605,551.674,68
0.312647,592.584,68
0.313609,554.864,68
0.314644,590.584,68
0.315605,551.154,68
0.316652,598.574,68
0.317605,550.763,68
0.318645,591.695,68
0.319605,551.044,68
0.320644,589.824,68
0.321612,558.644,68
0.322640,586.964,68
0.323604,550.553,68
0.324649,594.334,68
0.325606,551.794,68
0.326640,585.984,68
0.327605,551.273,68
0.328647,593.534,68
0.329605,551.844,68
0.331223,1169.658,68
0.331610,386.032,68
0.332602,548.234,68
0.333610,555.814,68
0.334644,590.724,68
0.335609,555.293,68
0.336650,596.714,68
0.337608,554.144,68
0.338646,590.344,68
0.339605,551.794,68
0.340659,604.444,68
0.341605,551.333,68
0.342641,587.914,68
0.343606,551.934,68
0.344644,589.654,68
0.345604,550.343,68
0.346642,588.514,68
0.347603,549.804,68
0.348650,596.494,68
0.349604,550.583,68
0.350654,600.565,68
0.351604,551.114,68
0.352648,594.124,68
0.353605,551.243,68
0.354640,585.984,68
0.355610,554.604,68
0.356649,594.854,68
0.357605,551.204,68
0.358644,588.624,68
0.359605,550.943,68
0.360650,596.464,68
0.361605,551.644,68
0.363224,1169.998,68
0.363613,387.832,68
0.364606,551.474,68
0.365606,552.714,68
0.366645,591.794,68
0.367604,551.133,68
0.368649,595.445,68
0.369605,551.724,68
0.370644,590.014,68
0.371605,551.803,68
0.372663,609.554,68
0.373605,551.104,68
0.374645,591.334,68
0.375608,554.014,68
0.376647,592.414,68
0.377605,551.873,68
0.378642,588.684,68
0.379609,555.224,68
0.380653,599.244,68
0.381609,553.113,68
0.382656,602.564,68
0.383607,552.404,68
0.384655,600.184,68
0.385607,553.393,68
0.386646,591.315,68
0.387608,552.984,68
0.388653,599.244,68
0.389606,552.474,68
0.390645,591.104,68
0.391607,553.693,68
0.392659,604.594,68
0.393617,561.624,68
0.395229,1173.008,68
0.395617,386.562,68
0.396662,606.714,68
0.397609,554.024,68
0.398645,591.124,68
0.399607,552.823,68
0.400647,592.854,68
0.401606,552.904,68
0.402645,591.194,67
0.403609,555.653,67
0.405226,1171.819,67
0.405612,385.442,67
0.406606,552.684,67
0.407611,557.544,67
0.408657,603.124,68
0.409606,552.663,68
0.410646,591.944,68
0.411608,555.104,68
0.412653,599.514,68
0.413607,553.414,68
0.414662,609.174,68
0.415609,554.114,68
0.416653,598.594,68
0.417608,554.453,68
0.418645,591.504,68
0.419604,550.654,68
0.420651,596.684,68
0.421608,553.803,68
0.422644,591.194,68
0.423605,550.794,68
0.424663,609.104,68
0.425607,553.324,68
0.426645,592.024,68
0.427609,555.253,68
0.428656,602.594,68
0.429610,556.004,68
0.430644,591.184,68
0.431609,553.824,68
0.432651,596.304,68
0.433607,552.914,68
0.434647,593.374,68
0.435609,555.323,68
0.436653,598.905,68
0.437612,557.104,68
0.438651,597.424,68
0.439606,552.353,68
0.440649,595.524,68
0.441604,550.594,68
0.442645,591.164,68
0.443606,552.634,68
0.444654,599.754,68
0.445611,556.924,68
0.447228,1174.518,68
0.447615,385.743,68
0.448609,554.764,68
0.449608,554.914,68
0.450645,592.374,68
0.451610,556.364,68
0.452656,601.454,68
0.453612,558.123,68
0.454646,593.115,68
0.455609,553.734,68
0.456667,611.994,68
0.457610,555.344,68
0.458651,596.484,68
0.459610,556.624,68
0.460655,600.864,68
0.461608,554.774,68
0.462645,591.154,68
0.463609,556.074,68
0.464653,598.994,68
0.465611,555.264,68
0.466661,606.624,68
0.467609,554.593,68
0.468657,603.234,68
0.469609,555.754,68
0.470649,595.764,68
0.471610,555.983,68
0.472653,599.065,68
0.473607,553.694,68
0.474647,593.404,68
0.475609,555.374,68
0.476655,601.274,68
0.477613,559.054,68
0.479228,1174.708,68
0.479615,385.153,68
0.480611,556.284,68
0.481610,554.934,68
0.482646,591.424,68
0.483611,556.764,68
0.484654,599.934,68
0.485613,559.134,68
0.486648,594.744,68
0.487611,553.064,68
0.488672,618.124,68
0.489611,557.763,68
0.490648,594.075,68
0.491610,556.024,68
0.492655,600.934,68
0.493610,554.834,68
0.494650,595.104,68
0.495614,559.904,68
0.496675,621.034,68
0.497610,555.894,68
0.498817,763.115,68
0.499617,561.784,68
0.500664,607.454,68
0.501611,557.834,68
0.502656,601.694,68
0.503612,557.814,68
0.504658,603.885,68
0.505609,555.724,68
0.506653,598.894,68
0.507612,558.373,68
0.508661,606.804,68
0.509611,556.604,68
0.510649,595.104,68
0.511608,554.384,68
0.512657,602.314,68
0.513612,558.164,68
0.514650,595.644,68
0.515609,554.214,68
0.516660,605.384,68
0.517610,556.604,68
0.518650,595.984,68
0.519614,560.084,68
0.521231,1176.968,68
0.521619,386.412,68
0.522618,563.894,68
0.523610,556.604,68
0.524655,601.294,68
0.525614,560.284,68
0.526651,598.114,68
0.527610,555.794,68
0.528657,602.934,68
0.529610,556.184,68
0.530667,613.934,67
0.531613,558.414,67
0.532662,607.644,67
0.533611,556.964,67
0.534649,595.604,67
0.535613,559.094,67
0.536655,601.104,67
0.537613,557.224,67
0.538651,597.704,67
0.539610,555.353,67
0.540670,615.685,67
0.541613,559.734,67
0.542649,595.974,67
0.543612,558.724,67
0.544658,602.454,67
0.545615,561.384,67
0.546652,598.984,67
0.547614,559.624,67
0.548659,604.494,67
0.549612,557.094,67
0.550654,599.624,67
0.551614,560.594,67
0.552661,606.854,67
0.553612,558.374,67
0.554652,597.624,67
0.555614,561.014,67
0.556658,604.024,67
0.557612,558.773,67
0.558652,596.324,67
0.559612,559.144,67
0.560657,603.134,67
0.561614,560.834,67
0.562669,615.814,67
0.563615,561.434,67
0.564659,604.324,67
0.565614,560.064,67
0.566652,597.934,67
0.567616,560.504,67
0.568657,602.914,67
0.569617,562.304,67
0.570653,599.454,67
0.571613,559.134,67
0.572671,617.244,67
0.573614,560.794,67
0.574652,598.184,67
0.575615,560.523,67
0.576659,604.814,67
0.577614,560.304,67
0.578651,596.964,67
0.579613,559.904,67
0.580661,606.354,67
0.581615,562.124,67
0.582655,601.914,67
0.583614,560.924,67
0.584658,603.984,67
0.585615,560.724,67
0.586653,599.334,67
0.587616,560.374,67
0.588660,606.364,67
0.589611,556.904,67
0.590651,597.244,67
0.591614,560.024,67
0.592654,599.724,67
0.593616,562.664,67
0.595234,1178.807,67
0.595623,387.623,67
0.596615,560.984,67
0.597618,564.214,67
0.598653,599.034,67
0.599613,559.114,67
0.600719,662.915,67
