timestamp,rocm_smi:::gpu_clk_freq_System:device=1:idx=0,rocm_smi:::temp_current:device=1:sensor=1,rocm_smi:::temp_current:device=1:sensor=2,rocm_smi:::mem_usage_VRAM:device=1,rocm_smi:::busy_percent:device=1,rocm_smi:::memory_busy_percent:device=1
0.001680,115000000,35000,35000,81947443200,1,0
0.502227,500000000,38000,36000,81947443200,94,2
1.002875,500000000,40000,36000,81947443200,98,2
1.503269,500000000,40000,36000,81947443200,94,2
2.004146,115000000,38000,36000,81947443200,1,0
2.504786,94000000,36000,36000,81947443200,0,0
3.005550,94000000,35000,35000,81947443200,0,0
3.506586,94000000,34000,35000,81947443200,0,0
4.007600,94000000,34000,35000,81947443200,0,0
4.508639,94000000,34000,35000,81947443200,0,0
5.009679,122000000,33000,35000,81947443200,0,0
5.510698,95000000,33000,35000,81947443200,0,0
6.011701,94000000,33000,35000,81947443200,0,0
6.512725,94000000,33000,35000,81947443200,0,0
7.013533,500000000,36000,35000,81947459584,92,0
7.514556,500000000,39000,36000,81947459584,98,0
8.015206,500000000,41000,36000,81947459584,94,0
8.515607,500000000,42000,36000,81947459584,98,0
9.024639,500000000,43000,37000,81947459584,88,0
9.525266,500000000,44000,37000,81947459584,96,0
10.035291,500000000,44000,37000,81947459584,86,0
10.535774,500000000,44000,36000,81947459584,95,0
11.036783,500000000,43000,36000,81947459584,88,0
11.537575,500000000,40000,36000,81947459584,1,0
12.038175,500000000,37000,36000,81947459584,0,0
12.539036,500000000,36000,36000,81947459584,0,0
13.040067,500000000,35000,36000,81947459584,0,0
13.541085,500000000,34000,35000,81947459584,0,0
14.042125,500000000,34000,35000,81947459584,0,0
14.543130,500000000,34000,35000,81947459584,0,0
15.044149,500000000,34000,35000,81947459584,0,0
15.545165,500000000,33000,35000,81947459584,0,0
16.046002,500000000,34000,35000,81947459584,0,0
16.546607,500000000,37000,36000,81947459584,95,0
17.047020,500000000,39000,36000,81947459584,89,0
17.548044,500000000,41000,37000,81947459584,94,0
18.054066,500000000,43000,37000,81947459584,88,0
18.555090,500000000,43000,37000,81947459584,95,0
19.064118,500000000,44000,37000,81947459584,86,0
19.564772,500000000,44000,37000,81947459584,95,0
20.066166,500000000,44000,37000,81947459584,90,0
20.566819,500000000,44000,37000,81947459584,96,0
21.067500,500000000,41000,36000,81947459584,6,0
21.568449,500000000,39000,36000,81947459584,0,0
22.069490,500000000,37000,36000,81947459584,0,0
22.570503,500000000,36000,36000,81947459584,0,0
23.071532,500000000,35000,36000,81947459584,0,0
23.572548,500000000,35000,36000,81947459584,0,0
24.073574,500000000,34000,36000,81947459584,0,0
24.574594,500000000,34000,36000,81947459584,0,0
25.075620,500000000,34000,36000,81947459584,0,0
25.576647,500000000,34000,36000,81947459584,0,0
26.078068,500000000,36000,36000,81947459584,81,0
26.578483,500000000,39000,37000,81947459584,95,0
27.083768,500000000,41000,37000,81947459584,86,0
27.584522,500000000,42000,37000,81947459584,96,0
28.092546,500000000,43000,37000,81947459584,88,0
28.593571,500000000,44000,37000,81947459584,94,0
29.098593,500000000,44000,37000,81947459584,88,0
29.599234,500000000,45000,37000,81947459584,96,0
30.108649,500000000,45000,37000,81947459584,85,0
30.609500,500000000,42000,37000,81947459584,27,0
31.110110,500000000,39000,37000,81947459584,0,0
31.610961,500000000,37000,36000,81947459584,0,0
32.112464,500000000,36000,36000,81947459584,0,0
32.613165,500000000,36000,36000,81947459584,0,0
33.114031,500000000,35000,36000,81947459584,0,0
33.615058,500000000,35000,36000,81947459584,0,0
34.116085,500000000,34000,36000,81947459584,0,0
34.617111,500000000,34000,36000,81947459584,0,0
35.118137,500000000,34000,36000,81947459584,0,0
35.618928,500000000,35000,36000,81947459584,69,0
36.119554,500000000,38000,37000,81947459584,89,0
36.619964,500000000,41000,37000,81947459584,96,0
37.123992,500000000,42000,37000,81947459584,86,0
37.624641,500000000,43000,37000,81947459584,95,0
38.129055,500000000,44000,37000,81947459584,88,0
38.629669,500000000,45000,38000,81947459584,96,0
39.138087,500000000,45000,37000,81947459584,86,0
39.639104,500000000,45000,37000,81947459584,95,0
40.140156,500000000,43000,37000,81947459584,59,0
40.641038,500000000,40000,37000,81947459584,0,0
41.141655,500000000,38000,37000,81947459584,0,0
41.642422,500000000,36000,36000,81947459584,0,0
42.143450,500000000,36000,36000,81947459584,0,0
42.644480,500000000,35000,36000,81947459584,0,0
43.145523,500000000,35000,36000,81947459584,0,0
43.646539,500000000,34000,36000,81947459584,0,0
44.147538,500000000,34000,36000,81947459584,0,0
44.648571,500000000,34000,36000,81947459584,0,0
45.149363,500000000,34000,36000,81947459584,35,0
45.650398,500000000,38000,37000,81947459584,96,0
46.154505,500000000,40000,37000,81947459584,86,0
46.655061,500000000,42000,37000,81947459584,95,0
47.156785,500000000,43000,37000,81947459584,91,0
47.657500,500000000,44000,38000,81947459584,95,0
48.169091,500000000,45000,38000,81947459584,87,0
48.669567,500000000,45000,38000,81947459584,95,0
49.171680,500000000,45000,37000,81947459584,89,0
49.672205,500000000,43000,37000,81947459584,35,0
50.172863,500000000,40000,37000,81947459584,0,0
50.673885,500000000,38000,37000,81947459584,0,0
51.174908,500000000,37000,37000,81947459584,0,0
51.675931,500000000,36000,36000,81947459584,0,0
52.176955,500000000,35000,36000,81947459584,0,0
52.678103,500000000,35000,36000,81947459584,0,0
53.179004,500000000,35000,36000,81947459584,0,0
53.680028,500000000,34000,36000,81947459584,0,0
54.181076,500000000,34000,36000,81947459584,0,0
54.681829,500000000,35000,36000,81947459584,64,0
55.182910,500000000,38000,37000,81947459584,86,0
55.683511,500000000,41000,37000,81947459584,95,0
56.188929,500000000,43000,37000,81947459584,89,0
56.689542,500000000,44000,38000,81947459584,96,0
57.200562,500000000,44000,38000,81947459584,86,0
57.700982,500000000,45000,38000,81947459584,96,0
58.202007,500000000,45000,38000,81947459584,90,0
58.703023,500000000,45000,38000,81947459584,95,0
59.204055,500000000,44000,37000,81947459584,50,0
59.704949,500000000,40000,37000,81947459584,1,0
60.205561,500000000,38000,37000,81947459584,0,0
60.706341,500000000,37000,37000,81947459584,0,0
61.207370,500000000,36000,37000,81947459584,0,0
61.708397,500000000,35000,36000,81947459584,0,0
62.209417,500000000,35000,36000,81947459584,0,0
62.710436,500000000,35000,36000,81947459584,0,0
63.211468,500000000,35000,36000,81947459584,0,0
63.712482,500000000,34000,36000,81947459584,0,0
64.213292,500000000,35000,36000,81947459584,40,0
64.713942,500000000,38000,37000,81947459584,94,0
65.218366,500000000,41000,37000,81947459584,89,0
65.718979,500000000,43000,38000,81947459584,96,0
66.226389,500000000,44000,38000,81947459584,88,0
66.727418,500000000,44000,38000,81947459584,94,0
67.232441,500000000,45000,38000,81947459584,88,0
67.733464,500000000,45000,38000,81947459584,96,0
68.240782,500000000,45000,38000,81947459584,86,0
68.741515,500000000,44000,37000,81947459584,34,0
69.242362,98000000,40000,37000,81947459584,0,0
69.743007,93000000,38000,37000,81947459584,0,0
70.243822,127000000,37000,37000,81947459584,0,0
70.744878,95000000,37000,37000,81947459584,0,0
71.245880,93000000,36000,37000,81947459584,0,0
71.746904,94000000,35000,37000,81947459584,0,0
72.247931,93000000,35000,36000,81947459584,0,0
72.748949,94000000,35000,37000,81947459584,0,0
73.249970,93000000,35000,36000,81947459584,0,0
73.750757,500000000,35000,37000,81947459584,64,0
74.251788,500000000,39000,37000,81947459584,89,0
74.752815,500000000,41000,38000,81947459584,96,0
75.256843,500000000,43000,38000,81947459584,85,0
75.757483,500000000,44000,38000,81947459584,95,0
76.260896,500000000,44000,38000,81947459584,88,0
76.761511,500000000,45000,38000,81947459584,96,0
77.270535,500000000,45000,38000,81947459584,86,0
77.770952,500000000,45000,38000,81947459584,95,0
78.271972,500000000,44000,38000,81947459584,88,0
78.773189,500000000,41000,38000,81947459584,2,0
79.274242,500000000,39000,37000,81947459584,0,0
79.775268,500000000,37000,37000,81947459584,0,0
80.276298,500000000,36000,37000,81947459584,0,0
80.777313,500000000,36000,37000,81947459584,0,0
81.278365,500000000,35000,37000,81947459584,0,0
81.779373,500000000,35000,37000,81947459584,0,0
82.280383,500000000,35000,37000,81947459584,0,0
82.781416,500000000,35000,37000,81947459584,0,0
83.282428,500000000,35000,36000,81947459584,0,0
83.783248,500000000,37000,37000,81947459584,94,0
84.283884,500000000,40000,37000,81947459584,89,0
84.784288,500000000,42000,38000,81947459584,94,0
85.287339,500000000,44000,38000,81947459584,88,0
85.787955,500000000,44000,38000,81947459584,95,0
86.297552,500000000,45000,38000,81947459584,86,0
86.798398,500000000,45000,38000,81947459584,88,0
87.299027,500000000,45000,38000,81947459584,91,0
87.799438,500000000,45000,38000,81947459584,95,0
88.300312,500000000,42000,37000,81947459584,3,0
88.800960,500000000,39000,37000,81947459584,0,0
89.301758,500000000,38000,37000,81947459584,0,0
89.802767,500000000,37000,37000,81947459584,0,0
90.303796,500000000,36000,37000,81947459584,0,0
90.804553,500000000,35000,37000,81947459584,0,0
91.305834,500000000,35000,37000,81947459584,0,0
91.806874,500000000,35000,37000,81947459584,0,0
92.307927,500000000,35000,37000,81947459584,0,0
92.808927,500000000,35000,37000,81947459584,0,0
93.309700,500000000,37000,37000,81947459584,85,0
93.810726,500000000,40000,37000,81947459584,94,0
94.316763,500000000,42000,38000,81947459584,89,0
94.817382,500000000,44000,38000,81947459584,96,0
95.328811,500000000,44000,38000,81947459584,85,0
95.829832,500000000,45000,38000,81947459584,95,0
96.330852,500000000,45000,38000,81947459584,90,0
96.831480,500000000,46000,38000,81947459584,95,0
97.336507,500000000,45000,38000,81947459584,89,0
97.837183,500000000,43000,38000,81947459584,16,0
98.338158,500000000,40000,37000,81947459584,0,0
98.839187,500000000,38000,37000,81947459584,0,0
99.340214,500000000,37000,37000,81947459584,0,0
99.841200,500000000,36000,37000,81947459584,0,0
100.342253,500000000,36000,37000,81947459584,0,0
100.843283,500000000,35000,37000,81947459584,0,0
101.344313,500000000,35000,37000,81947459584,0,0
101.845330,500000000,35000,37000,81947459584,0,0
102.346361,500000000,35000,37000,81947459584,0,0
102.847155,500000000,36000,37000,81947459584,81,0
103.347836,500000000,39000,38000,81947459584,98,0
103.848241,500000000,42000,38000,81947459584,96,0
104.349229,500000000,43000,38000,81947459584,98,0
104.850255,500000000,44000,38000,81947459584,93,0
105.351279,500000000,45000,38000,81947459584,98,0
105.852306,500000000,45000,38000,81947459584,95,0
106.352951,500000000,46000,38000,81947459584,98,0
106.853359,500000000,46000,38000,81947459584,94,0
107.354241,500000000,43000,38000,81947459584,21,0
107.854897,500000000,40000,37000,81947459584,0,0
108.355644,500000000,39000,37000,81947459584,0,0
108.856684,500000000,38000,37000,81947459584,0,0
109.357690,500000000,37000,37000,81947459584,0,0
109.858716,500000000,36000,37000,81947459584,0,0
110.359771,500000000,36000,37000,81947459584,0,0
110.860783,500000000,35000,37000,81947459584,0,0
111.361817,500000000,35000,37000,81947459584,0,0
111.862834,500000000,35000,37000,81947459584,0,0
112.363614,500000000,36000,37000,81947459584,79,0
112.864256,500000000,39000,38000,81947459584,94,0
113.364674,500000000,42000,38000,81947459584,98,0
113.865320,500000000,43000,38000,81947459584,91,0
114.365749,500000000,44000,38000,81947459584,97,0
114.866750,500000000,45000,38000,81947459584,93,0
115.367774,500000000,45000,38000,81947459584,97,0
115.868400,500000000,46000,38000,81947459584,91,0
116.368832,500000000,46000,38000,81947459584,97,0
116.869471,500000000,44000,38000,81947459584,30,0
117.370109,500000000,41000,38000,81947459584,0,0
117.871130,500000000,39000,37000,81947459584,0,0
118.372139,500000000,37000,37000,81947459584,0,0
118.873148,500000000,36000,37000,81947459584,0,0
119.374173,500000000,37000,37000,81947459584,0,0
119.875211,500000000,36000,37000,81947459584,0,0
120.376227,500000000,36000,37000,81947459584,0,0
120.877247,500000000,35000,37000,81947459584,0,0
121.378275,500000000,35000,37000,81947459584,0,0
121.879055,500000000,36000,37000,81947459584,67,0
122.380092,500000000,39000,38000,81947459584,97,0
122.880763,500000000,42000,38000,81947459584,91,0
123.381162,500000000,43000,38000,81947459584,96,0
123.882170,500000000,44000,38000,81947459584,93,0
124.382828,500000000,45000,38000,81947459584,97,0
124.883250,500000000,46000,39000,81947459584,90,0
125.383870,500000000,46000,38000,81947459584,96,0
125.884270,500000000,46000,38000,81947459584,92,0
126.384938,500000000,44000,38000,81947459584,31,0
126.885536,500000000,41000,38000,81947459584,0,0
127.386554,500000000,39000,38000,81947459584,0,0
127.887582,500000000,37000,37000,81947459584,0,0
128.388600,500000000,37000,37000,81947459584,0,0
128.889635,500000000,36000,37000,81947459584,0,0
129.390663,500000000,36000,37000,81947459584,0,0
129.891645,500000000,36000,37000,81947459584,0,0
130.392557,500000000,36000,37000,81947459584,0,0
130.893330,500000000,36000,37000,81947459584,0,0
131.393684,500000000,36000,37000,81947459584,69,0
131.894559,500000000,40000,38000,81947459584,89,0
132.395585,500000000,42000,38000,81947459584,96,0
132.896217,500000000,44000,38000,81947459584,91,0
133.396635,500000000,45000,38000,81947459584,97,0
133.897271,500000000,45000,38000,81947459584,90,0
134.397679,500000000,46000,39000,81947459584,95,0
134.898698,500000000,46000,38000,81947459584,89,0
135.399354,500000000,46000,38000,81947459584,96,0
135.900125,500000000,44000,38000,81947459584,29,0
136.401036,500000000,41000,38000,81947459584,0,0
136.902038,500000000,39000,37000,81947459584,0,0
137.403065,500000000,38000,37000,81947459584,0,0
137.904086,500000000,37000,37000,81947459584,0,0
138.405113,500000000,36000,37000,81947459584,0,0
138.906133,500000000,36000,37000,81947459584,0,0
139.407144,500000000,35000,37000,81947459584,0,0
139.907930,500000000,35000,37000,81947459584,0,0
140.408818,500000000,35000,37000,81947459584,0,0
140.917017,500000000,37000,37000,81947459584,42,0
141.418025,500000000,40000,38000,81947459584,96,0
141.918650,500000000,42000,38000,81947459584,90,0
142.419064,500000000,44000,38000,81947459584,97,0
142.919703,500000000,45000,39000,81947459584,89,0
143.420115,500000000,45000,38000,81947459584,95,0
143.921134,500000000,46000,39000,81947459584,88,0
144.422163,500000000,46000,38000,81947459584,97,0
144.923187,500000000,46000,38000,81947459584,86,0
145.424213,500000000,44000,38000,81947459584,94,0
145.925083,500000000,41000,38000,81947459584,1,0
146.425767,500000000,39000,38000,81947459584,0,0
146.926515,500000000,38000,37000,81947459584,0,0
147.427521,500000000,37000,37000,81947459584,0,0
147.928516,500000000,36000,38000,81947459584,0,0
148.429572,500000000,36000,37000,81947459584,0,0
148.930595,500000000,36000,37000,81947459584,0,0
149.431623,500000000,35000,37000,81947459584,0,0
149.932644,500000000,35000,37000,81947459584,0,0
150.433663,500000000,35000,37000,81947459584,0,0
150.934468,500000000,38000,38000,81947459584,88,0
151.435126,500000000,41000,38000,81947459584,96,0
151.938809,500000000,43000,38000,81947459584,86,0
152.439552,500000000,44000,39000,81947459584,95,0
152.945181,500000000,45000,39000,81947459584,88,0
153.445597,500000000,46000,39000,81947459584,96,0
153.952632,500000000,46000,39000,81947459584,86,0
154.453253,500000000,46000,39000,81947459584,95,0
154.953675,500000000,46000,38000,81947459584,72,0
155.454514,500000000,42000,38000,81947459584,0,0
155.955147,500000000,40000,38000,81947459584,0,0
156.455978,500000000,38000,38000,81947459584,0,0
156.956970,500000000,37000,37000,81947459584,0,0
