timestamp,rocm_smi:::gpu_clk_freq_System:device=0:idx=0,rocm_smi:::temp_current:device=0:sensor=1,rocm_smi:::temp_current:device=0:sensor=2,rocm_smi:::mem_usage_VRAM:device=0,rocm_smi:::busy_percent:device=0,rocm_smi:::memory_busy_percent:device=0
0.001207,500000000,39000,52000,54860349440,27,0
0.101849,500000000,39000,51000,54860349440,100,1
0.202327,500000000,40000,53000,54860349440,100,1
0.302773,500000000,39000,53000,54860349440,100,1
0.403270,500000000,40000,53000,54860349440,100,1
0.503965,500000000,40000,53000,54860349440,100,1
0.604702,500000000,40000,53000,54860349440,100,1
0.705274,500000000,40000,53000,54860349440,100,1
0.805734,500000000,40000,53000,54860349440,100,1
0.906166,500000000,40000,53000,54860349440,100,1
1.006677,500000000,40000,53000,54860349440,100,1
1.107178,500000000,40000,53000,54860349440,100,1
1.207661,500000000,39000,53000,54860349440,100,1
1.308184,500000000,40000,53000,54860349440,100,1
1.408651,500000000,40000,53000,54860349440,100,1
1.509205,500000000,39000,53000,54860349440,100,1
1.609669,500000000,40000,53000,54860349440,100,1
1.710210,500000000,40000,53000,54860349440,100,1
1.810680,500000000,40000,53000,54860349440,100,1
1.911216,500000000,39000,53000,54860349440,100,1
2.011689,500000000,40000,53000,54860349440,100,1
2.112295,500000000,39000,53000,54860349440,0,0
2.212862,500000000,39000,53000,54860349440,0,0
2.313344,500000000,39000,53000,54860349440,0,0
2.413924,500000000,39000,53000,54860349440,0,0
2.515338,500000000,39000,53000,54860349440,0,0
2.616150,500000000,39000,53000,54860349440,0,0
2.716884,500000000,39000,53000,54860349440,0,0
2.817711,500000000,39000,52000,54860349440,0,0
2.918446,500000000,39000,53000,54860349440,0,0
3.019158,500000000,39000,53000,54860349440,0,0
3.119980,500000000,40000,53000,54860349440,0,0
3.220870,500000000,39000,53000,54860349440,0,0
3.321665,500000000,40000,53000,54860349440,0,0
3.422473,500000000,39000,53000,54860349440,0,0
3.523435,500000000,39000,53000,54860349440,0,0
3.624110,500000000,39000,52000,54860349440,0,0
3.724916,500000000,39000,53000,54860349440,0,0
3.825672,500000000,39000,52000,54860349440,0,0
3.926474,500000000,39000,53000,54860349440,0,0
4.027193,500000000,39000,52000,54860349440,0,0
4.127893,500000000,39000,53000,54860349440,0,0
4.228602,500000000,40000,53000,54860349440,0,0
4.329418,500000000,39000,53000,54860349440,0,0
4.430129,500000000,40000,53000,54860349440,0,0
4.530865,500000000,40000,52000,54860349440,0,0
4.631486,500000000,39000,52000,54860349440,0,0
4.732234,500000000,40000,53000,54860349440,0,0
4.832969,500000000,39000,53000,54860349440,0,0
4.933695,500000000,39000,52000,54860349440,0,0
5.034855,500000000,39000,52000,54860349440,0,0
5.135843,500000000,39000,52000,54860349440,0,0
5.236575,500000000,39000,53000,54860349440,0,0
5.337471,500000000,39000,53000,54860349440,0,0
