timestamp,rocm_smi:::gpu_clk_freq_System:device=1:idx=0,rocm_smi:::temp_current:device=1:sensor=1,rocm_smi:::temp_current:device=1:sensor=2,rocm_smi:::mem_usage_VRAM:device=1,rocm_smi:::busy_percent:device=1,rocm_smi:::memory_busy_percent:device=1
0.001945,137000000,34000,35000,81947443200,1,0
0.502421,500000000,35000,36000,81947443200,92,2
1.003276,500000000,35000,35000,81947443200,26,1
1.504298,97000000,36000,35000,81947443200,0,0
2.005317,93000000,37000,35000,81947443200,0,0
2.506407,124000000,36000,35000,81947443200,1,0
3.006985,94000000,36000,35000,81947443200,0,0
3.508433,93000000,36000,35000,81947443200,0,0
4.009030,119000000,37000,35000,81947443200,1,0
4.509443,94000000,37000,35000,81947443200,0,0
5.010079,93000000,36000,35000,81947443200,0,0
5.510537,103000000,35000,35000,81947443200,0,0
6.011514,94000000,36000,35000,81947443200,0,0
6.512150,94000000,37000,35000,81947443200,0,0
7.012567,94000000,38000,35000,81947443200,0,0
7.513199,112000000,38000,35000,81947443200,0,0
8.013620,115000000,38000,35000,81947443200,0,0
8.514246,94000000,37000,35000,81947443200,0,0
9.014883,93000000,38000,35000,81947443200,0,0
9.515681,97000000,38000,35000,81947443200,0,0
10.016707,93000000,38000,35000,81947443200,0,0
10.517374,117000000,38000,35000,81947443200,1,0
11.017845,95000000,39000,35000,81947443200,0,0
11.518392,94000000,39000,35000,81947443200,0,0
12.018816,103000000,39000,35000,81947443200,0,0
12.519435,94000000,39000,35000,81947443200,0,0
13.019845,93000000,39000,35000,81947443200,0,0
13.520477,93000000,39000,35000,81947443200,0,0
14.020891,93000000,39000,35000,81947443200,0,0
14.521522,93000000,39000,35000,81947443200,0,0
15.021958,93000000,39000,35000,81947443200,0,0
15.522574,93000000,39000,35000,81947443200,0,0
16.024084,103000000,39000,35000,81947443200,0,0
16.525016,94000000,39000,35000,81947443200,0,0
17.025646,95000000,39000,35000,81947443200,0,0
17.526047,93000000,39000,35000,81947443200,0,0
18.026700,93000000,38000,35000,81947443200,0,0
18.527124,93000000,38000,35000,81947443200,0,0
19.027760,93000000,38000,35000,81947443200,0,0
19.528173,93000000,38000,35000,81947443200,0,0
20.029204,93000000,38000,35000,81947443200,0,0
20.529815,93000000,38000,35000,81947443200,0,0
21.030220,93000000,38000,35000,81947443200,0,0
21.530866,93000000,39000,35000,81947443200,0,0
22.031274,93000000,38000,35000,81947443200,0,0
22.532298,115000000,39000,35000,81947443200,1,0
23.032942,94000000,39000,35000,81947443200,0,0
23.533342,93000000,39000,35000,81947443200,0,0
24.033974,93000000,40000,35000,81947443200,0,0
24.534384,95000000,41000,35000,81947443200,0,0
25.035032,93000000,40000,35000,81947443200,0,0
25.535448,500000000,40000,35000,81947443200,1,0
26.036492,123000000,39000,35000,81947443200,0,0
26.537118,94000000,39000,35000,81947443200,0,0
27.037515,93000000,39000,35000,81947443200,0,0
27.538149,93000000,40000,35000,81947443200,0,0
28.038559,97000000,41000,35000,81947443200,0,0
28.539203,93000000,40000,35000,81947443200,0,0
29.039634,100000000,39000,35000,81947443200,0,0
29.540636,94000000,39000,35000,81947443200,0,0
30.041283,93000000,39000,35000,81947443200,0,0
30.541680,94000000,40000,35000,81947443200,0,0
31.042319,99000000,41000,35000,81947443200,0,0
31.542780,94000000,40000,35000,81947443200,0,0
32.043367,94000000,40000,35000,81947443200,0,0
32.543784,94000000,39000,35000,81947443200,0,0
33.044814,94000000,39000,35000,81947443200,0,0
33.545831,93000000,39000,35000,81947443200,0,0
34.046888,93000000,39000,35000,81947443200,0,0
34.547881,94000000,39000,35000,81947443200,0,0
35.048516,94000000,39000,35000,81947443200,0,0
35.548925,93000000,38000,35000,81947443200,0,0
36.049561,94000000,39000,35000,81947443200,0,0
36.549997,94000000,38000,35000,81947443200,0,0
37.050641,97000000,39000,35000,81947443200,0,0
37.551061,97000000,40000,35000,81947443200,0,0
38.051673,119000000,40000,35000,81947443200,0,0
38.552071,94000000,39000,35000,81947443200,0,0
39.053111,115000000,41000,35000,81947443200,1,0
39.553744,94000000,40000,35000,81947443200,0,0
40.054150,94000000,40000,35000,81947443200,0,0
40.554792,94000000,41000,35000,81947443200,0,0
41.055197,97000000,41000,35000,81947443200,0,0
41.555836,94000000,40000,35000,81947443200,0,0
