timestamp,rocm_smi:::temp_current:device=1:sensor=1,rocm_smi:::temp_current:device=1:sensor=2,rocm_smi:::mem_usage_VRAM:device=1,rocm_smi:::busy_percent:device=1,rocm_smi:::memory_busy_percent:device=1
0.001273,38000,34000,54692872192,1,0
0.501983,36000,34000,54692872192,97,2
1.047476,35000,34000,54827089920,48,1
1.548271,34000,34000,54827089920,0,0
2.049286,33000,33000,54827089920,0,0
2.550310,32000,34000,54827089920,0,0
3.051339,32000,34000,54827089920,0,0
3.552361,32000,33000,54827089920,0,0
4.052803,31000,34000,54827089920,0,0
4.553415,31000,33000,54827089920,0,0
5.054884,31000,33000,54827089920,0,0
5.555522,31000,33000,54827089920,0,0
6.056280,31000,33000,54827089920,0,0
6.557126,32000,33000,54830141440,0,0
7.057634,32000,34000,54830141440,0,0
7.558531,31000,33000,54830141440,0,0
8.059552,31000,34000,54830141440,0,0
8.560574,31000,33000,54830141440,0,0
9.061027,31000,33000,54830141440,0,0
9.561627,31000,33000,54830141440,0,0
10.062091,31000,33000,54830141440,0,0
10.562687,32000,34000,54830141440,0,0
11.063695,32000,34000,54830141440,0,0
11.564723,32000,33000,54830141440,0,0
12.065743,32000,33000,54830141440,0,0
12.566772,32000,33000,54830141440,0,0
13.067791,31000,33000,54830141440,0,0
13.568816,31000,33000,54830141440,0,0
14.069268,31000,33000,54830141440,0,0
14.569870,31000,33000,54830141440,0,0
15.070890,31000,33000,54830141440,0,0
15.571356,31000,33000,54830141440,0,0
16.072027,31000,33000,54830141440,0,0
16.572971,31000,33000,54830141440,0,0
17.073388,31000,33000,54830141440,0,0
17.574004,31000,34000,54830141440,0,0
18.075030,31000,33000,54830141440,0,0
18.576059,31000,33000,54830141440,0,0
19.077122,31000,33000,54830141440,0,0
19.578130,31000,34000,54830141440,0,0
20.079164,31000,33000,54830141440,0,0
20.580194,31000,33000,54830141440,0,0
21.081012,31000,33000,54830141440,0,0
21.581811,32000,34000,54830141440,0,0
22.082398,31000,33000,54830141440,0,0
22.583280,31000,33000,54830141440,0,0
23.084309,31000,33000,54830141440,0,0
23.585338,31000,33000,54830141440,0,0
24.086162,31000,33000,54830141440,0,0
24.586954,31000,33000,54830141440,0,0
25.087263,31000,33000,54830141440,0,0
25.588003,31000,33000,54830141440,0,0
26.088551,32000,33000,54830141440,0,0
26.589475,32000,33000,54830141440,0,0
27.090463,32000,33000,54830141440,0,0
27.591495,32000,33000,54830141440,0,0
28.092515,31000,33000,54830141440,0,0
28.593190,31000,33000,54830141440,0,0
29.093765,31000,33000,54830141440,0,0
29.594589,31000,33000,54830141440,0,0
30.095611,31000,33000,54830141440,0,0
