timestamp,iteration,rocm_smi:::temp_current:device=0:sensor=0,rocm_smi:::temp_current:device=0:sensor=1,rocm_smi:::temp_current:device=0:sensor=2,rocm_smi:::busy_percent:device=0,rocm_smi:::memory_busy_percent:device=0
0.002071,Iter1,37000,37000,50000,0,0
0.502739,Iter1,41000,51000,51000,100,0
1.003403,Iter1,43000,53000,52000,100,0
1.504066,Iter1,43000,55000,53000,100,0
2.004693,Iter1,43000,55000,53000,100,0
2.505348,Iter1,44000,56000,54000,100,0
3.006017,Iter1,45000,56000,54000,100,0
3.506698,Iter1,46000,57000,55000,100,0
4.007356,Iter1,47000,57000,55000,100,0
4.508021,Iter1,47000,59000,56000,100,0
5.008538,Iter1,48000,59000,56000,100,0
5.509192,Iter1,48000,60000,57000,100,0
6.009844,Iter1,49000,60000,57000,100,0
6.510479,Iter1,50000,61000,58000,100,0
7.011150,Iter1,50000,62000,58000,100,0
7.511897,Iter1,51000,62000,59000,100,0
8.012531,Iter1,51000,63000,59000,100,0
8.513181,Iter1,51000,63000,60000,100,0
9.013962,Iter1,52000,64000,60000,100,0
9.514594,Iter1,53000,64000,60000,100,0
10.015111,Iter1,53000,65000,61000,100,0
10.515776,Iter1,54000,65000,61000,100,0
11.016434,Iter1,55000,66000,62000,100,0
11.517084,Iter1,55000,66000,62000,100,0
12.017712,Iter1,55000,67000,63000,100,0
12.518377,Iter1,56000,67000,63000,100,0
13.019108,Iter1,56000,68000,63000,100,0
13.519759,Iter1,57000,68000,64000,100,0
14.020393,Iter1,57000,69000,64000,100,0
14.521173,Iter1,58000,70000,64000,100,0
15.021828,Iter1,58000,70000,64000,100,0
15.522342,Iter1,59000,70000,65000,100,0
16.023017,Iter1,59000,72000,65000,100,0
16.523657,Iter1,60000,71000,66000,100,0
17.024302,Iter1,60000,72000,66000,100,0
17.524960,Iter1,61000,72000,66000,100,0
18.025588,Iter1,61000,73000,67000,100,0
18.526356,Iter1,61000,74000,67000,100,0
19.027020,Iter1,62000,74000,67000,100,0
19.527650,Iter1,62000,75000,68000,100,0
20.028438,Iter1,62000,75000,68000,100,0
20.528952,Iter1,63000,76000,68000,100,0
21.029636,Iter1,64000,76000,69000,100,0
21.530286,Iter1,64000,77000,69000,100,0
22.030942,Iter1,65000,77000,70000,100,0
22.531576,Iter1,65000,77000,70000,100,0
23.032213,Iter1,65000,78000,70000,100,0
23.532876,Iter1,66000,77000,71000,100,0
