timestamp,iteration,rocm_smi:::temp_current:device=1:sensor=1,rocm_smi:::temp_current:device=1:sensor=2,rocm_smi:::busy_percent:device=1,rocm_smi:::memory_busy_percent:device=1
0.001686,Iter1,43000,35000,3,1
0.501907,Iter1,46000,36000,83,0
1.002288,Iter1,52000,38000,100,0
1.502699,Iter1,56000,39000,100,0
2.002927,Iter1,60000,39000,100,0
2.503363,Iter1,62000,40000,100,0
3.003767,Iter1,63000,40000,100,0
3.503995,Iter1,64000,40000,100,0
4.004433,Iter1,65000,40000,100,0
4.504851,Iter1,65000,40000,100,0
5.005078,Iter1,66000,41000,100,0
5.505894,Iter1,66000,41000,100,0
6.006122,Iter1,66000,41000,100,0
6.506560,Iter1,66000,41000,100,0
7.006970,Iter1,66000,41000,100,0
7.507198,Iter1,67000,41000,100,0
8.007628,Iter1,67000,42000,100,0
8.508046,Iter1,67000,42000,100,0
9.008274,Iter1,67000,42000,100,0
9.508704,Iter1,67000,42000,100,0
10.009111,Iter1,67000,42000,100,0
10.509336,Iter1,68000,43000,100,0
11.009775,Iter1,68000,42000,100,0
11.510204,Iter1,68000,43000,100,0
12.010454,Iter1,68000,43000,100,0
12.510848,Iter1,68000,42000,100,0
13.011256,Iter1,68000,43000,100,0
13.511500,Iter1,68000,43000,100,0
14.011931,Iter1,68000,43000,100,0
14.512336,Iter1,68000,43000,100,0
15.012570,Iter1,68000,43000,100,0
15.512992,Iter1,68000,43000,100,0
16.013425,Iter1,68000,43000,100,0
16.513611,Iter1,68000,43000,90,0
17.014466,Iter1,68000,44000,100,0
17.514720,Iter1,68000,44000,100,0
18.015114,Iter1,68000,44000,100,0
18.515562,Iter1,68000,44000,100,0
19.015785,Iter1,69000,44000,100,0
19.516187,Iter1,69000,44000,100,0
20.016623,Iter1,68000,44000,100,0
20.516843,Iter1,68000,44000,100,0
21.017649,Iter1,69000,44000,100,0
21.517878,Iter1,69000,44000,100,0
22.018309,Iter1,69000,44000,100,0
22.518787,Iter1,69000,44000,100,0
23.019783,Iter1,69000,44000,100,0
23.520017,Iter1,69000,44000,100,0
24.020407,Iter1,69000,44000,100,0
24.520825,Iter1,70000,44000,100,0
25.021055,Iter1,70000,44000,100,0
25.521501,Iter1,70000,44000,100,0
26.021888,Iter1,70000,44000,100,0
26.522551,Iter1,70000,44000,100,0
27.022936,Iter1,70000,44000,100,0
27.523161,Iter1,70000,45000,100,0
28.023602,Iter1,70000,45000,100,0
28.524014,Iter1,70000,45000,100,0
29.024239,Iter1,70000,45000,100,0
29.524675,Iter1,70000,45000,100,0
30.025093,Iter1,70000,45000,100,0
30.525323,Iter1,70000,45000,100,0
31.025747,Iter1,70000,45000,100,0
31.526166,Iter1,70000,45000,100,0
32.026392,Iter1,70000,45000,100,0
32.527238,Iter1,70000,45000,100,0
33.027504,Iter1,70000,45000,100,0
33.528333,Iter1,70000,45000,100,0
34.028897,Iter1,70000,45000,100,0
34.529306,Iter1,70000,45000,100,0
35.029546,Iter1,70000,45000,100,0
35.529966,Iter1,70000,45000,100,0
36.030383,Iter1,70000,45000,100,0
36.530628,Iter1,70000,45000,100,0
37.031039,Iter1,70000,45000,100,0
37.531465,Iter1,70000,45000,100,0
38.031693,Iter1,70000,45000,100,0
38.532579,Iter1,70000,45000,100,0
39.033145,Iter1,72000,45000,100,0
39.533552,Iter1-Wait,70000,45000,9,0
40.033777,Iter1-Wait,63000,43000,0,0
40.534208,Iter1-Wait,57000,42000,0,0
41.034627,Iter1-Wait,54000,42000,0,0
41.534851,Iter1-Wait,52000,41000,0,0
42.035282,Iter1-Wait,51000,41000,1,0
42.535699,Iter1-Wait,49000,41000,0,0
43.035926,Iter1-Wait,49000,40000,0,0
43.536357,Iter1-Wait,48000,40000,0,0
44.036825,Iter1-Wait,48000,40000,0,0
44.537066,Iter1-Wait,48000,40000,0,0
45.037439,Iter2,47000,40000,0,0
45.537842,Iter2,52000,41000,99,0
46.038068,Iter2,58000,42000,100,0
46.538513,Iter2,62000,43000,100,0
47.038912,Iter2,65000,43000,100,0
47.539138,Iter2,66000,43000,100,0
48.039574,Iter2,68000,44000,100,0
48.539991,Iter2,68000,44000,100,0
49.040240,Iter2,69000,44000,100,0
49.540652,Iter2,69000,44000,100,0
50.041079,Iter2,69000,44000,100,0
50.541306,Iter2,69000,44000,100,0
51.041722,Iter2,69000,44000,100,0
51.542133,Iter2,70000,45000,100,0
52.042361,Iter2,70000,45000,100,0
52.542795,Iter2,70000,45000,100,0
53.043212,Iter2,70000,45000,100,0
53.543440,Iter2,70000,45000,100,0
54.043866,Iter2,71000,45000,100,0
54.544345,Iter2,71000,45000,100,0
55.044611,Iter2,71000,46000,100,0
55.545341,Iter2,71000,46000,100,0
56.045596,Iter2,71000,46000,100,0
56.546464,Iter2,71000,46000,100,0
57.046712,Iter2,71000,46000,100,0
57.547443,Iter2,71000,46000,100,0
58.047685,Iter2,71000,46000,100,0
58.548087,Iter2,71000,46000,100,0
59.048516,Iter2,71000,46000,100,0
59.548736,Iter2,71000,46000,100,0
60.049158,Iter2,71000,46000,100,0
60.549575,Iter2,71000,46000,100,0
61.049802,Iter2,71000,46000,100,0
61.550230,Iter2,71000,46000,100,0
62.050651,Iter2,71000,46000,100,0
62.550878,Iter2,71000,46000,100,0
63.051718,Iter2,71000,46000,100,0
63.551944,Iter2,71000,46000,100,0
64.052355,Iter2,71000,46000,100,0
64.552761,Iter2,71000,46000,100,0
65.053152,Iter2,71000,46000,100,0
65.553814,Iter2,71000,46000,100,0
66.054037,Iter2,71000,46000,100,0
66.554492,Iter2,71000,46000,100,0
67.054881,Iter2,71000,46000,100,0
67.555104,Iter2,71000,46000,100,0
68.055933,Iter2,71000,46000,100,0
68.556160,Iter2,71000,46000,100,0
69.056981,Iter2,71000,46000,100,0
69.557208,Iter2,71000,46000,100,0
70.058029,Iter2,71000,46000,100,0
70.558307,Iter2,71000,46000,100,0
71.058695,Iter2,71000,46000,100,0
71.559109,Iter2,71000,46000,100,0
72.059337,Iter2,71000,46000,100,0
72.560157,Iter2,71000,46000,100,0
73.060384,Iter2,71000,46000,100,0
73.560816,Iter2,71000,46000,100,0
74.061223,Iter2,71000,46000,100,0
74.561449,Iter2,71000,46000,100,0
75.061888,Iter2,71000,46000,100,0
75.562307,Iter2,71000,46000,100,0
76.062556,Iter2,71000,46000,100,0
76.563347,Iter2,71000,46000,100,0
77.063573,Iter2,71000,46000,100,0
77.564009,Iter2,71000,46000,100,0
78.064421,Iter2,71000,46000,100,0
78.564614,Iter2,71000,46000,100,0
79.065497,Iter2,71000,46000,100,0
79.565688,Iter2,71000,46000,100,0
80.066524,Iter2,71000,46000,100,0
80.566753,Iter2,71000,46000,100,0
81.067180,Iter2,71000,46000,100,0
81.567597,Iter2,71000,46000,100,0
82.067833,Iter2,71000,46000,100,0
82.568641,Iter2,71000,46000,100,0
83.068869,Iter2,71000,46000,100,0
83.569303,Iter2,71000,46000,100,0
84.069714,Iter2,75000,46000,100,0
84.569951,Iter2-Wait,68000,45000,1,0
85.070762,Iter2-Wait,62000,44000,0,0
85.570989,Iter2-Wait,57000,43000,0,0
86.071441,Iter2-Wait,54000,42000,0,0
86.571856,Iter2-Wait,52000,42000,1,0
87.072093,Iter2-Wait,51000,42000,0,0
87.572503,Iter2-Wait,50000,42000,0,0
88.072905,Iter2-Wait,50000,41000,0,0
88.573131,Iter2-Wait,49000,41000,0,0
89.073579,Iter2-Wait,48000,41000,0,0
89.573985,Iter2-Wait,48000,41000,0,0
90.074269,Iter3,48000,40000,0,0
90.574652,Iter3,54000,42000,99,0
91.075049,Iter3,59000,43000,100,0
91.575401,Iter3,63000,44000,100,0
92.076112,Iter3,65000,44000,100,0
92.576333,Iter3,67000,44000,100,0
93.076765,Iter3,68000,44000,100,0
93.577189,Iter3,69000,44000,100,0
94.077404,Iter3,69000,44000,100,0
94.577836,Iter3,69000,45000,100,0
95.078251,Iter3,69000,45000,100,0
95.578436,Iter3,70000,45000,100,0
96.079298,Iter3,70000,45000,100,0
96.579535,Iter3,70000,45000,100,0
97.080415,Iter3,70000,45000,100,0
97.580655,Iter3,70000,45000,100,0
98.081004,Iter3,71000,45000,100,0
98.581418,Iter3,71000,45000,100,0
99.081646,Iter3,71000,46000,100,0
99.582483,Iter3,71000,46000,100,0
100.082709,Iter3,71000,46000,100,0
100.583534,Iter3,71000,46000,100,0
101.083760,Iter3,71000,46000,100,0
101.584177,Iter3,71000,46000,100,0
102.084589,Iter3,71000,46000,100,0
102.584844,Iter3,71000,46000,100,0
103.085250,Iter3,71000,46000,100,0
103.585665,Iter3,71000,46000,100,0
104.085890,Iter3,70000,46000,100,0
104.586709,Iter3,71000,46000,100,0
105.086936,Iter3,71000,46000,100,0
105.587371,Iter3,71000,46000,100,0
106.087787,Iter3,71000,46000,100,0
106.587969,Iter3,71000,46000,100,0
107.088833,Iter3,71000,46000,100,0
107.589242,Iter3,71000,46000,100,0
108.089893,Iter3,71000,46000,100,0
108.590094,Iter3,71000,46000,100,0
109.095001,Iter3,71000,46000,100,0
109.595186,Iter3,71000,46000,100,0
110.095974,Iter3,71000,46000,100,0
110.596200,Iter3,71000,46000,100,0
111.096642,Iter3,71000,46000,100,0
111.597046,Iter3,71000,46000,100,0
112.097263,Iter3,71000,46000,100,0
