timestamp,rocm_smi:::temp_current:device=0:sensor=0,rocm_smi:::temp_current:device=0:sensor=1,rocm_smi:::temp_current:device=0:sensor=2,rocm_smi:::mem_usage_VRAM:device=0,rocm_smi:::busy_percent:device=0,rocm_smi:::memory_busy_percent:device=0
0.001059,40000,40000,52000,55016239104,83,1
0.501814,40000,40000,53000,55016239104,100,0
1.002403,41000,41000,52000,55016239104,100,0
1.503000,41000,41000,52000,55016239104,100,0
2.003599,41000,41000,52000,55016239104,100,0
2.504236,41000,41000,53000,55016239104,100,0
3.004923,40000,41000,52000,55016239104,100,0
3.505497,40000,41000,52000,55016239104,100,0
4.006101,40000,41000,53000,55016239104,100,0
4.506693,41000,41000,52000,55016239104,100,0
5.007297,41000,41000,53000,55016239104,100,0
5.508062,41000,41000,52000,55016239104,100,0
6.008640,41000,41000,52000,55016239104,100,0
6.509255,41000,41000,52000,55016239104,100,0
7.009844,41000,42000,52000,55016239104,100,0
7.510450,41000,42000,52000,55016239104,100,0
8.011169,41000,41000,52000,55016239104,100,0
8.511766,41000,41000,52000,55016239104,100,0
9.012353,41000,41000,52000,55016239104,100,0
9.512918,41000,41000,53000,55016239104,100,0
10.013501,41000,41000,52000,55016239104,100,0
10.514278,41000,41000,52000,55016239104,100,0
11.014873,41000,41000,52000,55016239104,100,0
11.515472,42000,42000,54000,55016239104,100,0
12.016082,41000,42000,52000,55016239104,100,0
12.516671,41000,42000,52000,55016239104,100,0
13.017353,41000,42000,52000,55016239104,100,0
13.517938,41000,42000,53000,55016239104,100,0
14.018547,41000,42000,52000,55016239104,100,0
14.519152,41000,42000,53000,55016239104,100,0
15.019724,41000,42000,54000,55016239104,100,0
15.520415,42000,42000,54000,55016239104,100,0
16.021022,41000,42000,53000,55016239104,100,0
16.521622,41000,42000,53000,55016239104,100,0
17.022232,41000,42000,54000,55016239104,100,0
17.522811,42000,42000,53000,55016239104,100,0
18.023470,42000,42000,53000,55016239104,100,0
18.524113,42000,42000,53000,55016239104,100,0
19.024706,42000,42000,53000,55016239104,100,0
19.525302,42000,42000,53000,55016239104,100,0
20.025913,42000,42000,54000,55016239104,100,0
20.526493,41000,42000,53000,55016239104,100,0
21.027089,42000,42000,54000,55016239104,100,0
21.527573,42000,42000,53000,55016239104,100,0
22.028183,42000,42000,54000,55016239104,100,0
22.528791,42000,42000,53000,55016239104,100,0
23.029387,42000,42000,53000,55016239104,100,0
23.529960,42000,42000,54000,55016239104,100,0
24.030549,42000,42000,53000,55016239104,100,0
24.531175,42000,42000,54000,55016239104,100,0
25.031891,41000,42000,53000,55016239104,100,0
25.532507,42000,42000,53000,55016239104,100,0
26.033107,42000,42000,54000,55016239104,100,0
26.533682,42000,42000,53000,55016239104,100,0
27.034294,42000,42000,53000,55016239104,100,0
27.535030,42000,42000,54000,55016239104,100,0
28.035616,42000,42000,53000,55016239104,100,0
28.536243,42000,42000,53000,55016239104,100,0
29.036851,42000,43000,53000,55016239104,100,0
29.537442,42000,43000,54000,55016239104,100,0
30.038139,42000,42000,53000,55016239104,100,0
30.538730,42000,42000,53000,55016239104,100,0
31.039325,42000,43000,53000,55016239104,100,0
31.539917,42000,43000,53000,55016239104,100,0
32.040519,42000,42000,53000,55016239104,100,0
32.541254,42000,42000,53000,55016239104,100,0
33.041824,42000,42000,54000,55016239104,100,0
33.542404,42000,43000,53000,55016239104,100,0
34.043006,42000,42000,53000,55016239104,100,0
34.543605,42000,42000,53000,55016239104,100,0
35.044334,42000,43000,54000,55016239104,100,0
35.544904,43000,43000,54000,55016239104,100,0
