timestamp,rocm_smi:::temp_current:device=1:sensor=1,rocm_smi:::temp_current:device=1:sensor=2,rocm_smi:::mem_usage_VRAM:device=1,rocm_smi:::busy_percent:device=1,rocm_smi:::memory_busy_percent:device=1,power
0.001340,35000,34000,5711790080,0,0,215
0.523883,38000,37000,5711806464,98,7,458
1.061467,42000,38000,5711806464,99,8,466
1.598312,45000,39000,5711806464,99,8,441
2.121503,47000,39000,5711806464,99,8,463
2.658397,48000,39000,5711806464,99,8,464
3.197495,49000,40000,5711806464,96,8,463
3.731931,49000,40000,5711806464,99,8,455
4.256761,50000,40000,5711806464,99,8,448
4.780723,50000,40000,5711806464,96,8,462
5.314134,48000,38000,5711806464,11,1,94
5.865667,43000,37000,5711806464,0,0,86
6.411778,40000,36000,5711806464,0,0,86
6.952672,38000,36000,5711806464,0,0,85
7.495082,37000,36000,5711806464,0,0,85
8.037840,36000,35000,5711806464,0,0,85
